productName,productPrice,productUnit,productPromotion,productPromotionDuration,productPromotionGroup,url,error
Vegeponics Premium Cherry Tomato,$2.83,200 G,Any3 for10% OFF,Till30th Jun2025,"Vegeponics Pesticide-Free Crystal Lettuce (SG Local), Vegeponics Premium Cherry Tomato, Vegeponics Australia Pumpkin",https://www.fairprice.com.sg/product/vegeponics-cherry-tomato-200-g-90151819,False
Vegeponics Australia Pumpkin,$3.83,500 G,Any3 for10% OFF,Till30th Jun2025,"Vegeponics Pesticide-Free Crystal Lettuce (SG Local), Vegeponics Premium Cherry Tomato, Vegeponics Australia Pumpkin",https://www.fairprice.com.sg/product/fresh-pumpkin-australia-490-g-90183480,False
Seng Choon Carrot Eggs,$4.55,640g (10 per pack),,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10523120_XL1_20250522.jpg?w=400&q=70,False
Softlan Fabric Conditioner Softener Refill - Floral Fantasy,$3.53,1.6L,Any4 for $10.00,Till 1st Jul 2025,"Softlan Fabric Conditioner Softener Refill - Lavender Fresh, Softlan Fabric Conditioner Softener Refill - Spring Fresh",https://www.fairprice.com.sg/product/softlan-fabric-conditioner-softener-refill-floral-fantasy-1-6l-13214815,False
Softlan Fabric Conditioner Softener Refill - Lavender Fresh,$3.53,1.6L,Any4 for $10.00,Till 1st Jul 2025,"Softlan Fabric Conditioner Softener Refill - Floral Fantasy, Softlan Fabric Conditioner Softener Refill - Spring Fresh",https://www.fairprice.com.sg/product/softlan-fabric-conditioner-softener-refill-lavender-fresh-1-6l-13214813,False
Softlan Fabric Conditioner Softener Refill - Spring Fresh,$3.53,1.6L,Any4 for $10.00,Till 1st Jul 2025,"Softlan Fabric Conditioner Softener Refill - Floral Fantasy, Softlan Fabric Conditioner Softener Refill - Lavender Fresh",https://www.fairprice.com.sg/product/softlan-fabric-conditioner-softener-refill-spring-fresh-1-6l-13214816,False
Serve by Hai Sia Golden Pomfret (Scaled & Gutted) - Fresh,$8.88,350 G,Buy2 for $13.99,1 day 1 hour,Serve by Hai Sia Golden Pomfret (Scaled & Gutted) - Fresh,https://www.fairprice.com.sg/product/serve-by-hai-sia-golden-pomfret-scaled-gutted-fresh-350-g-90196223,False
Super Original 3-in-1 Coffee,$6.25,700g,Any2 for $9.95,2 days 5 hours,"Super Original 3-in-1 Coffee, Super 3-In-1 Instant Coffee - Less Sugar, Super3 in1 Instant Milk Tea - Original",https://www.fairprice.com.sg/product/super-original-3-in-1-coffee-700g-13185540,False
Super 3-In-1 Instant Coffee - Less Sugar,$6.25,525g,Any2 for $9.95,2 days 5 hours,"Super Original 3-in-1 Coffee, Super 3-In-1 Instant Coffee - Less Sugar, Super3 in1 Instant Milk Tea - Original",https://www.fairprice.com.sg/product/super-3-in-1-instant-coffee-less-sugar-560g-13185542,False
Super3 in1 Instant Milk Tea - Original,$6.25,25 x 20g,Any2 for $9.95,2 days 5 hours,"Super Original 3-in-1 Coffee, Super 3-In-1 Instant Coffee - Less Sugar, Super3 in1 Instant Milk Tea - Original",https://www.fairprice.com.sg/product/super-3-in-1-instant-milk-tea-original-25-x-20g-13060773,False
Yakult Cultured Milk Bottle Drink - Assorted Flavours (Twin Pack),$6.91,10 x 100ml,,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13109359_XL1_20240408.jpg?w=400&q=70,False
Zespri New Zealand Kiwifruit - SunGold,$6.90,4 per pack,,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13044104_XL1_20250609.jpg?w=400&q=70,False
Zespri New Zealand Kiwifruit - SunGold,,4 per pack,,,,https://www.fairprice.com.sg/product/zespri-new-zealand-kiwifruit-sungold-4-per-pack-13044104,False
Vitagen Less Sugar Twin Pack 5s x 125ml,$6.80,10 x 125ml,Offer $6.80 $6.92 Save $0.12Till1st Jul2025,Till 1st Jul 2025,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13088088_XL1_20240422.jpg?w=400&q=70,False
Vinda Deluxe Smooth Feel Toilet Tissue -3 Ply,$13.50,16 x 250 per pack,Offer $13.50 $15.79 Save $2.29Till1st Jul2025,Till 1st Jul 2025,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13211585_XL1_20250522.jpg?w=400&q=70,False
