productName,productQuantity,productPrice,productPromotion,productPromotionDuration
Good Today Zzang Snack,130g,$2.00,,
Good Today Twist,125g,$2.00,,
Haagen-Dazs Macaron - Double Chocolate Ganache,420ml,$14.77,,
Haagen-Dazs Ice Cream - Coffee,473ml,$14.77,,
Greatwall Brand Vinegar - Black,635g,$2.14,,
Haagen-Dazs Ice Cream Macaron - Strawberry & Raspberry,420ml,$14.77,,
Haagen-Dazs Ice Cream - Chocolate,473ml,$14.77,,
Haagen-Dazs Ice Cream - Matcha Green Tea,473ml,$14.77,,
Haagen-Dazs Ice Cream - Macadamia Nut,473ml,$14.77,,
Haagen-Dazs Ice Cream - Cookies & Cream,473ml,$14.77,,
Haagen-Dazs Ice Cream - Strawberry,473ml,$14.77,,
Haagen-Dazs Ice Cream - Vanilla,473ml,$14.77,,
Haagen-Dazs Ice Cream - Mango & Raspberry,473ml,$14.77,,
Haagen-Dazs Ice Cream - Rum & Raisin,473ml,$14.77,,
Haagen-Dazs Ice Cream - Pistachio Cream,420ml,$14.77,,
Haday Cooking Wine,450ml,$2.40,,
Hai Di Lao Hot Pot Soup Base - Spicy,220g,$4.50,,
Hai Di Lao Spicy Hotpot Seasoning - Medium,360g,$4.50,,
Hai Chijia Hot & Sour Instant Noodles,143g,$3.31,,
Haagen-Dazs Mini Cups Ice Cream - Favourite Selection,4 x 100ml,$18.24,,
Haagen-Dazs Mini Cups Ice Cream - Fruit Fantasy,4 x 100ml,$18.24,,
Haitai Crackers - Original,6 x 7 per pack,$2.95,,
Haagen-Dazs Mini Cups Ice Cream - Chocoholic Moments,4 x 100ml,$18.24,,
Hai Di Lao Basic Stir Fry Sauce - Spicy,2 x 110g,$4.50,,
Haitian Superior Oyster Sauce,1 KG,$3.60,,
Hai Di Lao Hot Pot Seasoning - Tomato,200g,$4.50,,
Hai Di Lao Hot Pot Seasoning - Broth Flavor,110g,$4.50,,
Haitai Crackers - Almond,6 x 6 per pack,$2.95,,
Haesong Seaweed Snack - Teriyaki,3 x 4g,$1.89,,
Haesong Seaweed Snack - Kids,3 x 4g,$1.89,,
